Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1860 - Lincoln,South Carolina,,0.00,,,0.00,,,8.00,,,0,,,Democratic,Chosen by state legislature
1860 - Lincoln,Tennessee,146106.00,0.00,0, ,11281.00,7.7, ,65097.00,44.6, ,69728,47.7,12,Other,
1860 - Lincoln,Texas,62855.00,0.00,0, ,18.00,0, ,47454.00,75.5,4,15383,24.5, ,Democratic,
1860 - Lincoln,Vermont,44644.00,33808.00,75.7,5,8649.00,19.4, ,218.00,0.5, ,1969,4.4, ,Republican,
1860 - Lincoln,Virginia,166891.00,1887.00,1.1, ,16198.00,9.7, ,74325.00,44.5, ,74481,44.6,15,Other,
1860 - Lincoln,Wisconsin,152179.00,86110.00,56.6,5,65021.00,42.7, ,887.00,0.6, ,161,0.1, ,Republican,
1864 - Lincoln,California,105890.00,62053.00,58.6,5,43837.00,41.4, ,,,,,,,Republican,
1864 - Lincoln,Connecticut,86958.00,44673.00,51.4,6,42285.00,48.6, ,,,,,,,Republican,
1864 - Lincoln,Delaware,16922.00,8155.00,48.2, ,8767.00,51.8,3,,,,,,,Democratic,
1864 - Lincoln,Illinois,348236.00,189512.00,54.4,16,158724.00,45.6, ,,,,,,,Republican,
1864 - Lincoln,Indiana,280117.00,149887.00,53.5,13,130230.00,46.5, ,,,,,,,Republican,
1864 - Lincoln,Iowa,138025.00,88500.00,64.1,8,49525.00,35.9, ,,,,,,,Republican,
1864 - Lincoln,Kansas,21580.00,17089.00,79.2,3,3836.00,17.8, ,,,,,,,Republican,
1864 - Lincoln,Kentucky,92088.00,27787.00,30.2, ,64301.00,69.8,11,,,,,,,Democratic,
1864 - Lincoln,Maine,115099.00,68104.00,59.2,7,46995.00,40.8, ,,,,,,,Republican,
1864 - Lincoln,Maryland,72892.00,40153.00,55.1,7,32739.00,44.9, ,,,,,,,Republican,
1864 - Lincoln,Massachusetts,175493.00,126742.00,72.2,12,48745.00,27.8, ,,,,,,,Republican,
1864 - Lincoln,Michigan,160023.00,88551.00,55.3,8,71472.00,44.7, ,,,,,,,Republican,
1864 - Lincoln,Minnesota,42433.00,25031.00,59,4,17376.00,40.9, ,,,,,,,Republican,
1864 - Lincoln,Missouri,104346.00,72750.00,69.7,11,31596.00,30.3, ,,,,,,,Republican,
1864 - Lincoln,Nevada,16420.00,9826.00,59.8,2,6594.00,40.2, ,,,,,,,Republican,
1864 - Lincoln,New Hampshire,69630.00,36596.00,52.6,5,33034.00,47.4, ,,,,,,,Republican,
1864 - Lincoln,New Jersey,128744.00,60724.00,47.2, ,68020.00,52.8,7,,,,,,,Democratic,
1864 - Lincoln,New York,730721.00,368735.00,50.5,33,361986.00,49.5, ,,,,,,,Republican,
1864 - Lincoln,Ohio,471283.00,265674.00,56.4,21,205609.00,43.6, ,,,,,,,Republican,
1864 - Lincoln,Oregon,18350.00,9888.00,53.9,3,8457.00,46.1, ,,,,,,,Republican,
1864 - Lincoln,Pennsylvania,572707.00,296391.00,51.7,26,276316.00,48.3, ,,,,,,,Republican,
1864 - Lincoln,Rhode Island,23067.00,14349.00,62.2,4,8718.00,37.8, ,,,,,,,Republican,
1864 - Lincoln,Vermont,55740.00,42419.00,76.1,5,13321.00,23.9, ,,,,,,,Republican,
1864 - Lincoln,West Virginia,34877.00,23799.00,68.2,5,11078.00,31.8, ,,,,,,,Republican,
1864 - Lincoln,Wisconsin,149342.00,83458.00,55.9,8,65884.00,44.1, ,,,,,,,Republican,
1868 - Grant,Alabama,149594.00,76667.00,51.3,8,72921.00,48.7, ,,,,,,,Republican,
1868 - Grant,Arkansas,41190.00,22112.00,53.7,5,19078.00,46.3, ,,,,,,,Republican,
1868 - Grant,California,108656.00,54588.00,50.2,5,54068.00,49.8, ,,,,,,,Republican,
1868 - Grant,Connecticut,98570.00,50789.00,51.5,6,47781.00,48.5, ,,,,,,,Republican,
1868 - Grant,Delaware,18571.00,7614.00,41, ,10957.00,59,3,,,,,,,Democratic,
1868 - Grant,Florida,,3.00,,,0.00,,,,,,,,,Republican,Chosen by state legislature
1868 - Grant,Georgia,159816.00,57109.00,35.7, ,102707.00,64.3,9,,,,,,,Democratic,
1868 - Grant,Illinois,449420.00,250304.00,55.7,16,199116.00,44.3, ,,,,,,,Republican,
1868 - Grant,Indiana,343528.00,176548.00,51.4,13,166980.00,48.6, ,,,,,,,Republican,
1868 - Grant,Iowa,194439.00,120399.00,61.9,8,74040.00,38.1, ,,,,,,,Republican,
1868 - Grant,Kansas,43630.00,30027.00,68.8,3,13600.00,31.2, ,,,,,,,Republican,
1868 - Grant,Kentucky,155455.00,39566.00,25.5, ,115889.00,74.5,11,,,,,,,Democratic,
1868 - Grant,Louisiana,113488.00,33263.00,29.3, ,80225.00,70.7,7,,,,,,,Democratic,
1868 - Grant,Maine,112962.00,70502.00,62.4,7,42460.00,37.6, ,,,,,,,Republican,
1868 - Grant,Maryland,92795.00,30438.00,32.8, ,62357.00,67.2,7,,,,,,,Democratic,
1868 - Grant,Massachusetts,195508.00,136379.00,69.8,12,59103.00,30.2, ,,,,,,,Republican,
1868 - Grant,Michigan,225632.00,128563.00,57,8,97069.00,43, ,,,,,,,Republican,
1868 - Grant,Minnesota,71620.00,43545.00,60.8,4,28075.00,39.2, ,,,,,,,Republican,
1868 - Grant,Missouri,152488.00,86860.00,57,11,65628.00,43, ,,,,,,,Republican,
1868 - Grant,Nebraska,15291.00,9772.00,63.9,3,5519.00,36.1, ,,,,,,,Republican,
1868 - Grant,Nevada,11689.00,6474.00,55.4,3,5215.00,44.6, ,,,,,,,Republican,
1868 - Grant,New Hampshire,68304.00,37718.00,55.2,5,30575.00,44.8, ,,,,,,,Republican,
1868 - Grant,New Jersey,163133.00,80132.00,49.1, ,83001.00,50.9,7,,,,,,,Democratic,
1868 - Grant,New York,849771.00,419888.00,49.4, ,429883.00,50.6,33,,,,,,,Democratic,
1868 - Grant,North Carolina,181498.00,96939.00,53.4,9,84559.00,46.6, ,,,,,,,Republican,
1868 - Grant,Ohio,518665.00,280159.00,54,21,238506.00,46, ,,,,,,,Republican,
1868 - Grant,Oregon,22086.00,10961.00,49.6, ,11125.00,50.4,3,,,,,,,Democratic,
1868 - Grant,Pennsylvania,655662.00,342280.00,52.2,26,313382.00,47.8, ,,,,,,,Republican,
1868 - Grant,Rhode Island,19511.00,13017.00,66.7,4,6494.00,33.3, ,,,,,,,Republican,
1868 - Grant,South Carolina,107538.00,62301.00,57.9,6,45237.00,42.1, ,,,,,,,Republican,
1868 - Grant,Tennessee,82757.00,56628.00,68.4,10,26129.00,31.6, ,,,,,,,Republican,
1868 - Grant,Vermont,56224.00,44173.00,78.6,5,12051.00,21.4, ,,,,,,,Republican,
1868 - Grant,West Virginia,49321.00,29015.00,58.8,5,20306.00,41.2, ,,,,,,,Republican,
1868 - Grant,Wisconsin,193628.00,108920.00,56.3,8,84708.00,43.7, ,,,,,,,Republican,
1872 - Grant,Alabama,169716.00,90272.00,53.2,10,79444.00,46.8, ,,,,,,,Republican,
1872 - Grant,Arkansas,79300.00,41373.00,52.2, ,37927.00,47.8,*,,,,,,,Republican,
1872 - Grant,California,95785.00,54007.00,56.4,6,40717.00,42.5, ,,,,,,,Republican,
