Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1876 - Hayes,Kentucky,259614.00,97156.00,37.4, ,159696.00,61.5,12,,,,,,,Democratic,
1876 - Hayes,Louisiana,145823.00,75315.00,51.6,8,70508.00,48.4, ,,,,,,,Republican,
1876 - Hayes,Maine,117045.00,66300.00,56.6,7,49917.00,42.6, ,,,,,,,Republican,
1876 - Hayes,Maryland,163759.00,71980.00,44, ,91779.00,56,8,,,,,,,Democratic,
1876 - Hayes,Massachusetts,259619.00,150063.00,57.8,13,108777.00,41.9, ,,,,,,,Republican,
1876 - Hayes,Michigan,318426.00,166901.00,52.4,11,141665.00,44.5, ,,,,,,,Republican,
1876 - Hayes,Minnesota,124119.00,72982.00,58.8,5,48816.00,39.3, ,,,,,,,Republican,
1876 - Hayes,Mississippi,164776.00,52603.00,31.9, ,112173.00,68.1,8,,,,,,,Democratic,
1876 - Hayes,Missouri,350610.00,145027.00,41.4, ,202086.00,57.6,15,,,,,,,Democratic,
1876 - Hayes,Nebraska,49258.00,31915.00,64.8,3,17343.00,35.2, ,,,,,,,Republican,
1876 - Hayes,Nevada,19691.00,10383.00,52.7,3,9308.00,47.3, ,,,,,,,Republican,
1876 - Hayes,New Hampshire,80143.00,41540.00,51.8,5,38510.00,48.1, ,,,,,,,Republican,
1876 - Hayes,New Jersey,220193.00,103517.00,47, ,115962.00,52.7,9,,,,,,,Democratic,
1876 - Hayes,New York,1015503.00,489207.00,48.2, ,521949.00,51.4,35,,,,,,,Democratic,
1876 - Hayes,North Carolina,233911.00,108484.00,46.4, ,125427.00,53.6,10,,,,,,,Democratic,
1876 - Hayes,Ohio,658650.00,330698.00,50.2,22,323182.00,49.1, ,,,,,,,Republican,
1876 - Hayes,Oregon,29873.00,15207.00,50.9,3,14157.00,47.4, ,,,,,,,Republican,
1876 - Hayes,Pennsylvania,758973.00,384157.00,50.6,29,366204.00,48.2, ,,,,,,,Republican,
1876 - Hayes,Rhode Island,26499.00,15787.00,59.6,4,10712.00,40.4, ,,,,,,,Republican,
1876 - Hayes,South Carolina,182683.00,91786.00,50.2,7,90897.00,49.8, ,,,,,,,Republican,
1876 - Hayes,Tennessee,222743.00,89566.00,40.2, ,133177.00,59.8,12,,,,,,,Democratic,
1876 - Hayes,Texas,151431.00,45013.00,29.7, ,106372.00,70.2,8,,,,,,,Democratic,
1876 - Hayes,Vermont,64460.00,44092.00,68.4,5,20254.00,31.4, ,,,,,,,Republican,
1876 - Hayes,Virginia,236288.00,95518.00,40.4, ,140770.00,59.6,11,,,,,,,Democratic,
1876 - Hayes,West Virginia,99647.00,41997.00,42.1, ,56546.00,56.7,5,,,,,,,Democratic,
1876 - Hayes,Wisconsin,257799.00,130668.00,50.7,10,123927.00,48.1, ,,,,,,,Republican,
1880 - Garfield,Alabama,151902.00,56350.00,37.1, ,91130.00,60,10,,,,,,,Democratic,
1880 - Garfield,Arkansas,108870.00,42436.00,39, ,60775.00,55.9,6,,,,,,,Democratic,
1880 - Garfield,California,164218.00,80282.00,48.9,1,80426.00,49,5,,,,,,,Democratic,
1880 - Garfield,Colorado,53546.00,27450.00,51.3,3,24647.00,46, ,,,,,,,Republican,
1880 - Garfield,Connecticut,132798.00,67071.00,50.5,6,64411.00,48.5, ,,,,,,,Republican,
1880 - Garfield,Delaware,29458.00,14148.00,48, ,15181.00,51.5,3,,,,,,,Democratic,
1880 - Garfield,Florida,51618.00,23654.00,45.8, ,27964.00,54.2,4,,,,,,,Democratic,
1880 - Garfield,Georgia,157451.00,54470.00,34.6, ,102981.00,65.4,11,,,,,,,Democratic,
1880 - Garfield,Illinois,622305.00,318036.00,51.1,21,277321.00,44.6, ,,,,,,,Republican,
1880 - Garfield,Indiana,470758.00,232169.00,49.3,15,225523.00,47.9, ,,,,,,,Republican,
1880 - Garfield,Iowa,323140.00,183904.00,56.9,11,105845.00,32.8, ,,,,,,,Republican,
1880 - Garfield,Kansas,201054.00,121520.00,60.4,5,59789.00,29.7, ,,,,,,,Republican,
1880 - Garfield,Kentucky,266884.00,106059.00,39.7, ,149068.00,55.9,12,,,,,,,Democratic,
1880 - Garfield,Louisiana,104462.00,38978.00,37.3, ,65047.00,62.3,8,,,,,,,Democratic,
1880 - Garfield,Maine,143903.00,74052.00,51.5,7,65211.00,45.3, ,,,,,,,Republican,
1880 - Garfield,Maryland,173049.00,78515.00,45.4, ,93706.00,54.1,8,,,,,,,Democratic,
1880 - Garfield,Massachusetts,282505.00,165198.00,58.5,13,111960.00,39.6, ,,,,,,,Republican,
1880 - Garfield,Michigan,353076.00,185335.00,52.5,11,131596.00,37.3, ,,,,,,,Republican,
1880 - Garfield,Minnesota,150806.00,93939.00,62.3,5,53314.00,35.4, ,,,,,,,Republican,
1880 - Garfield,Mississippi,117068.00,34844.00,29.8, ,75750.00,64.7,8,,,,,,,Democratic,
1880 - Garfield,Missouri,397289.00,153647.00,38.7, ,208600.00,52.5,15,,,,,,,Democratic,
1880 - Garfield,Nebraska,87355.00,54979.00,62.9,3,28523.00,32.7, ,,,,,,,Republican,
1880 - Garfield,Nevada,18343.00,8732.00,47.6, ,9611.00,52.4,3,,,,,,,Democratic,
1880 - Garfield,New Hampshire,86361.00,44856.00,51.9,5,40797.00,47.2, ,,,,,,,Republican,
1880 - Garfield,New Jersey,245928.00,120555.00,49, ,122565.00,49.8,9,,,,,,,Democratic,
1880 - Garfield,New York,1103945.00,555544.00,50.3,35,534511.00,48.4, ,,,,,,,Republican,
1880 - Garfield,North Carolina,240946.00,115616.00,48, ,124204.00,51.5,10,,,,,,,Democratic,
1880 - Garfield,Ohio,724984.00,375048.00,51.7,22,340867.00,47, ,,,,,,,Republican,
1880 - Garfield,Oregon,40841.00,20619.00,50.5,3,19955.00,48.9, ,,,,,,,Republican,
1880 - Garfield,Pennsylvania,874783.00,444704.00,50.8,29,407428.00,46.6, ,,,,,,,Republican,
1880 - Garfield,Rhode Island,29235.00,18195.00,62.2,4,10779.00,36.9, ,,,,,,,Republican,
1880 - Garfield,South Carolina,169793.00,57954.00,34.1, ,111236.00,65.5,7,,,,,,,Democratic,
1880 - Garfield,Tennessee,243263.00,107677.00,44.3, ,129569.00,53.3,12,,,,,,,Democratic,
1880 - Garfield,Texas,240659.00,57225.00,23.8, ,155963.00,64.8,8,,,,,,,Democratic,
1880 - Garfield,Vermont,65098.00,45567.00,70,5,18316.00,28.1, ,,,,,,,Republican,
1880 - Garfield,Virginia,212660.00,83634.00,39.3, ,128647.00,60.5,11,,,,,,,Democratic,
1880 - Garfield,West Virginia,112641.00,46243.00,41.1, ,57390.00,50.9,5,,,,,,,Democratic,
1880 - Garfield,Wisconsin,267202.00,144406.00,54,10,114650.00,42.9, ,,,,,,,Republican,
1884 - Cleveland,Alabama,153624.00,92736.00,60.4,10,59444.00,38.7, ,,,,,,,Democratic,
1884 - Cleveland,Arkansas,125779.00,72734.00,57.8,7,51198.00,40.7, ,,,,,,,Democratic,
1884 - Cleveland,California,196988.00,89288.00,45.3, ,102369.00,52,8,,,,,,,Republican,
1884 - Cleveland,Colorado,66519.00,27723.00,41.7, ,36084.00,54.2,3,,,,,,,Republican,
1884 - Cleveland,Connecticut,137221.00,67167.00,48.9,6,65879.00,48, ,,,,,,,Democratic,
1884 - Cleveland,Delaware,29984.00,16957.00,56.6,3,12953.00,43.2, ,,,,,,,Democratic,
1884 - Cleveland,Florida,59990.00,31769.00,53,4,28031.00,46.7, ,,,,,,,Democratic,
1884 - Cleveland,Georgia,143610.00,94667.00,65.9,12,48603.00,33.8, ,,,,,,,Democratic,
1884 - Cleveland,Illinois,672670.00,312351.00,46.4, ,337469.00,50.2,22,,,,,,,Republican,
1884 - Cleveland,Indiana,495423.00,245041.00,49.5,15,238511.00,48.1, ,,,,,,,Democratic,
1884 - Cleveland,Iowa,393542.00,177316.00,45.1, ,197089.00,50.1,13,,,,,,,Republican,
1884 - Cleveland,Kansas,250991.00,90111.00,35.9, ,154410.00,61.5,9,,,,,,,Republican,
1884 - Cleveland,Kentucky,276503.00,152894.00,55.3,13,118822.00,43, ,,,,,,,Democratic,
1884 - Cleveland,Louisiana,109399.00,62594.00,57.2,8,46347.00,42.4, ,,,,,,,Democratic,
1884 - Cleveland,Maine,130489.00,52153.00,40, ,72217.00,55.3,6,,,,,,,Republican,
1884 - Cleveland,Maryland,185838.00,96941.00,52.2,8,85748.00,46.1, ,,,,,,,Democratic,
1884 - Cleveland,Massachusetts,303383.00,122352.00,40.3, ,146724.00,48.4,14,,,,,,,Republican,
1884 - Cleveland,Michigan,401186.00,189361.00,47.2, ,192669.00,48,13,,,,,,,Republican,
1884 - Cleveland,Minnesota,190236.00,70135.00,36.7, ,111819.00,58.8,7,,,,,,,Republican,
1884 - Cleveland,Mississippi,120688.00,77653.00,64.3,9,43035.00,35.7, ,,,,,,,Democratic,
1884 - Cleveland,Missouri,441268.00,236023.00,53.5,16,203081.00,46, ,,,,,,,Democratic,
1884 - Cleveland,Nebraska,134202.00,54391.00,40.5, ,76912.00,57.3,5,,,,,,,Republican,
1884 - Cleveland,Nevada,12779.00,5577.00,43.6, ,7176.00,56.2,3,,,,,,,Republican,
1884 - Cleveland,New Hampshire,84586.00,39198.00,46.3, ,43254.00,51.1,4,,,,,,,Republican,
1884 - Cleveland,New Jersey,260853.00,127747.00,49,9,123436.00,47.3, ,,,,,,,Democratic,
1884 - Cleveland,New York,1167003.00,563048.00,48.2,36,562001.00,48.2, ,,,,,,,Democratic,
1884 - Cleveland,North Carolina,268356.00,142905.00,53.3,11,125021.00,46.6, ,,,,,,,Democratic,
1884 - Cleveland,Ohio,784620.00,368280.00,46.9, ,400092.00,51,23,,,,,,,Republican,
1884 - Cleveland,Oregon,52683.00,24598.00,46.7, ,26845.00,51,3,,,,,,,Republican,
1884 - Cleveland,Pennsylvania,899563.00,392915.00,43.7, ,474350.00,52.7,30,,,,,,,Republican,
1884 - Cleveland,Rhode Island,32771.00,12391.00,37.8, ,19030.00,58.1,4,,,,,,,Republican,
1884 - Cleveland,South Carolina,92812.00,69845.00,75.3,9,21730.00,23.4, ,,,,,,,Democratic,
1884 - Cleveland,Tennessee,259978.00,133770.00,51.5,12,124101.00,47.7, ,,,,,,,Democratic,
1884 - Cleveland,Texas,326458.00,226375.00,69.3,13,93345.00,28.6, ,,,,,,,Democratic,
1884 - Cleveland,Vermont,59409.00,17331.00,29.2, ,39514.00,66.5,4,,,,,,,Republican,
1884 - Cleveland,Virginia,284977.00,145491.00,51.1,12,139356.00,48.9, ,,,,,,,Democratic,
1884 - Cleveland,West Virginia,132145.00,67311.00,50.9,6,63096.00,47.7, ,,,,,,,Democratic,
1884 - Cleveland,Wisconsin,319847.00,146447.00,45.8, ,161155.00,50.4,11,,,,,,,Republican,
1888 - Harrison,Alabama,175085.00,57177.00,32.7, ,117314.00,67,10,,,,,,,Democratic,
1888 - Harrison,Arkansas,157058.00,59752.00,38, ,86062.00,54.8,7,,,,,,,Democratic,
1888 - Harrison,California,251339.00,124816.00,49.7,8,117729.00,46.8, ,,,,,,,Republican,
1888 - Harrison,Colorado,91946.00,50772.00,55.2,3,37549.00,40.8, ,,,,,,,Republican,
1888 - Harrison,Connecticut,153978.00,74584.00,48.4, ,74920.00,48.7,6,,,,,,,Democratic,
1888 - Harrison,Delaware,29764.00,12950.00,43.5, ,16414.00,55.1,3,,,,,,,Democratic,
1888 - Harrison,Florida,66500.00,26529.00,39.9, ,39557.00,59.5,4,,,,,,,Democratic,
1888 - Harrison,Georgia,142936.00,40499.00,28.3, ,100493.00,70.3,12,,,,,,,Democratic,
1888 - Harrison,Illinois,747813.00,370475.00,49.5,22,348351.00,46.6, ,,,,,,,Republican,
1888 - Harrison,Indiana,536988.00,263366.00,49,15,260990.00,48.6, ,,,,,,,Republican,
1888 - Harrison,Iowa,404694.00,211607.00,52.3,13,179876.00,44.4, ,,,,,,,Republican,
1888 - Harrison,Kansas,331133.00,182845.00,55.2,9,102739.00,31, ,,,,,,,Republican,
1888 - Harrison,Kentucky,344868.00,155138.00,45, ,183830.00,53.3,13,,,,,,,Democratic,
1888 - Harrison,Louisiana,115891.00,30660.00,26.5, ,85032.00,73.4,8,,,,,,,Democratic,
1888 - Harrison,Maine,128253.00,73730.00,57.5,6,50472.00,39.4, ,,,,,,,Republican,
1888 - Harrison,Maryland,210941.00,99986.00,47.4, ,106188.00,50.3,8,,,,,,,Democratic,
1888 - Harrison,Massachusetts,344243.00,183892.00,53.4,14,151590.00,44, ,,,,,,,Republican,
1888 - Harrison,Michigan,475356.00,236387.00,49.7,13,213469.00,44.9, ,,,,,,,Republican,
1888 - Harrison,Minnesota,263162.00,142492.00,54.1,7,104372.00,39.7, ,,,,,,,Republican,
1888 - Harrison,Mississippi,115786.00,30095.00,26, ,85451.00,73.8,9,,,,,,,Democratic,
1888 - Harrison,Missouri,521359.00,236252.00,45.3, ,261943.00,50.2,16,,,,,,,Democratic,
1888 - Harrison,Nebraska,202630.00,108417.00,53.5,5,80552.00,39.8, ,,,,,,,Republican,
1888 - Harrison,Nevada,12573.00,7229.00,57.5,3,5303.00,42.2, ,,,,,,,Republican,
1888 - Harrison,New Hampshire,90770.00,45734.00,50.4,4,43382.00,47.8, ,,,,,,,Republican,
1888 - Harrison,New Jersey,303801.00,144360.00,47.5, ,151508.00,49.9,9,,,,,,,Democratic,
1888 - Harrison,New York,1321270.00,650338.00,49.2,36,635965.00,48.1, ,,,,,,,Republican,
1888 - Harrison,North Carolina,285946.00,134784.00,47.1, ,148336.00,51.9,11,,,,,,,Democratic,
1888 - Harrison,Ohio,839357.00,416054.00,49.6,23,395456.00,47.1, ,,,,,,,Republican,
1888 - Harrison,Oregon,61889.00,33291.00,53.8,3,26518.00,42.8, ,,,,,,,Republican,
1888 - Harrison,Pennsylvania,997568.00,526091.00,52.7,30,446633.00,44.8, ,,,,,,,Republican,
1888 - Harrison,Rhode Island,40775.00,21969.00,53.9,4,17530.00,43, ,,,,,,,Republican,
1888 - Harrison,South Carolina,79997.00,13736.00,17.2, ,65824.00,82.3,9,,,,,,,Democratic,
1888 - Harrison,Tennessee,304313.00,139511.00,45.8, ,158779.00,52.2,12,,,,,,,Democratic,
1888 - Harrison,Texas,363484.00,93991.00,25.9, ,236290.00,65,13,,,,,,,Democratic,
1888 - Harrison,Vermont,63476.00,45193.00,71.2,4,16788.00,26.4, ,,,,,,,Republican,
1888 - Harrison,Virginia,304087.00,150399.00,49.5, ,152004.00,50,12,,,,,,,Democratic,
1888 - Harrison,West Virginia,159440.00,78171.00,49, ,78677.00,49.3,6,,,,,,,Democratic,
1888 - Harrison,Wisconsin,354614.00,176553.00,49.8,11,155232.00,43.8, ,,,,,,,Republican,
1892 - Cleveland,Alabama,232543.00,138135.00,59.4,11,9184.00,3.9, ,84984.00,36.5, ,,,,Democratic,
1892 - Cleveland,Arkansas,148117.00,87834.00,59.3,8,47072.00,31.8, ,11831.00,8, ,,,,Democratic,
1892 - Cleveland,California,269585.00,118151.00,43.8,8,118027.00,43.8,1,25311.00,9.4, ,,,,Democratic,
1892 - Cleveland,Colorado,93881.00,0.00,0, ,38620.00,41.1, ,53584.00,57.1,4,,,,Other,
1892 - Cleveland,Connecticut,164593.00,82395.00,50.1,6,77030.00,46.8, ,809.00,0.5, ,,,,Democratic,
1892 - Cleveland,Delaware,37235.00,18581.00,49.9,3,18077.00,48.5, ,0.00,0, ,,,,Democratic,
1892 - Cleveland,Florida,35567.00,30154.00,84.8,4,0.00,0, ,4843.00,13.6, ,,,,Democratic,
1892 - Cleveland,Georgia,223961.00,129386.00,57.8,13,48305.00,21.6, ,42937.00,19.2, ,,,,Democratic,
1892 - Cleveland,Idaho,19407.00,0.00,0, ,8599.00,44.3, ,10520.00,54.2,3,,,,Other,
1892 - Cleveland,Illinois,873667.00,426281.00,48.8,24,399308.00,45.7, ,22207.00,2.5, ,,,,Democratic,
1892 - Cleveland,Indiana,553613.00,262740.00,47.5,15,255615.00,46.2, ,22208.00,4, ,,,,Democratic,
1892 - Cleveland,Iowa,443159.00,196367.00,44.3, ,219795.00,49.6,13,20595.00,4.6, ,,,,Republican,
1892 - Cleveland,Kansas,323591.00,0.00,0, ,156134.00,48.3, ,162888.00,50.3,10,,,,Other,
1892 - Cleveland,Kentucky,340864.00,175461.00,51.5,13,135462.00,39.7, ,23500.00,6.9, ,,,,Democratic,
1892 - Cleveland,Louisiana,118287.00,87922.00,74.3,8,27903.00,23.6, ,2462.00,2.1, ,,,,Democratic,
1892 - Cleveland,Maine,116013.00,48024.00,41.4, ,62878.00,54.2,6,2045.00,1.8, ,,,,Republican,
1892 - Cleveland,Maryland,213275.00,113866.00,53.4,8,92736.00,43.5, ,796.00,0.4, ,,,,Democratic,
1892 - Cleveland,Massachusetts,391028.00,176813.00,45.2, ,202814.00,51.9,15,3210.00,0.8, ,,,,Republican,
1892 - Cleveland,Michigan,466917.00,202396.00,43.3,5,222708.00,47.7,9,20031.00,4.3, ,,,,Republican,
1892 - Cleveland,Minnesota,267461.00,101055.00,37.8, ,122836.00,45.9,9,29336.00,11, ,,,,Republican,
1892 - Cleveland,Mississippi,52519.00,40030.00,76.2,9,1398.00,2.7, ,10118.00,19.3, ,,,,Democratic,
1892 - Cleveland,Missouri,541583.00,268400.00,49.6,17,227646.00,42, ,41204.00,7.6, ,,,,Democratic,
1892 - Cleveland,Montana,44461.00,17690.00,39.8, ,18871.00,42.4,3,7338.00,16.5, ,,,,Republican,
1892 - Cleveland,Nebraska,200205.00,24956.00,12.5, ,87213.00,43.6,8,83134.00,41.5, ,,,,Republican,
1892 - Cleveland,Nevada,10826.00,703.00,6.5, ,2811.00,26, ,7226.00,66.7,3,,,,Other,
1892 - Cleveland,New Hampshire,89328.00,42081.00,47.1, ,45658.00,51.1,4,292.00,0.3, ,,,,Republican,
1892 - Cleveland,New Jersey,337485.00,170987.00,50.7,10,156059.00,46.2, ,969.00,0.3, ,,,,Democratic,
1892 - Cleveland,New York,1336793.00,654868.00,49,36,609350.00,45.6, ,16429.00,1.2, ,,,,Democratic,
1892 - Cleveland,North Carolina,280270.00,132951.00,47.4,11,100346.00,35.8, ,44336.00,15.8, ,,,,Democratic,
1892 - Cleveland,North Dakota,36118.00,0.00,0,1,17519.00,48.5,1,17700.00,49,1,,,,Other,
1892 - Cleveland,Ohio,850164.00,404115.00,47.5,1,405187.00,47.7,22,14850.00,1.7, ,,,,Republican,
1892 - Cleveland,Oregon,78378.00,14243.00,18.2, ,35002.00,44.7,3,26875.00,34.3,1,,,,Republican,
1892 - Cleveland,Pennsylvania,1003000.00,452264.00,45.1, ,516011.00,51.4,32,8714.00,0.9, ,,,,Republican,
1892 - Cleveland,Rhode Island,53196.00,24336.00,45.7, ,26975.00,50.7,4,228.00,0.4, ,,,,Republican,
1892 - Cleveland,South Carolina,70504.00,54680.00,77.6,9,13345.00,18.9, ,2407.00,3.4, ,,,,Democratic,
1892 - Cleveland,South Dakota,70513.00,9081.00,12.9, ,34888.00,49.5,4,26544.00,37.6, ,,,,Republican,
1892 - Cleveland,Tennessee,265732.00,136468.00,51.4,12,100537.00,37.8, ,23918.00,9, ,,,,Democratic,
1892 - Cleveland,Texas,422447.00,239148.00,56.6,15,77478.00,18.3, ,99688.00,23.6, ,,,,Democratic,
1892 - Cleveland,Vermont,55793.00,16325.00,29.3, ,37992.00,68.1,4,42.00,0.1, ,,,,Republican,
1892 - Cleveland,Virginia,292238.00,164136.00,56.2,12,113098.00,38.7, ,12275.00,4.2, ,,,,Democratic,
1892 - Cleveland,Washington,87968.00,29802.00,33.9, ,36459.00,41.4,4,19165.00,21.8, ,,,,Republican,
1892 - Cleveland,West Virginia,171079.00,84467.00,49.4,6,80292.00,46.9, ,4167.00,2.4, ,,,,Democratic,
1892 - Cleveland,Wisconsin,371481.00,177325.00,47.7,12,171101.00,46.1, ,9919.00,2.7, ,,,,Democratic,
1892 - Cleveland,Wyoming,16703.00,0.00,0, ,8454.00,50.6,3,7722.00,46.2, ,,,,Democratic,
1896 - McKinley,Alabama,194580.00,55673.00,28.6, ,130298.00,67,11,,,,,,,Democratic,
1896 - McKinley,Arkansas,149396.00,37512.00,25.1, ,110103.00,73.7,8,,,,,,,Democratic,
1896 - McKinley,California,299374.00,146688.00,49.1,8,123143.00,41.2,1,,,,,,,Republican,
1896 - McKinley,Colorado,189539.00,26271.00,13.9, ,161005.00,84.9,4,,,,,,,Democratic,
1896 - McKinley,Connecticut,174394.00,110285.00,63.2,6,56740.00,32.5, ,,,,,,,Republican,
1896 - McKinley,Delaware,31538.00,16883.00,53.5,3,13425.00,42.6, ,,,,,,,Republican,
1896 - McKinley,Florida,46468.00,11298.00,24.3, ,30683.00,66,4,,,,,,,Democratic,
1896 - McKinley,Georgia,163309.00,60107.00,36.8, ,94733.00,58,13,,,,,,,Democratic,
1896 - McKinley,Idaho,29631.00,6324.00,21.3, ,23135.00,78.1,3,,,,,,,Democratic,
1896 - McKinley,Illinois,1090766.00,607130.00,55.7,24,465593.00,42.7, ,,,,,,,Republican,
1896 - McKinley,Indiana,637089.00,323754.00,50.8,15,305538.00,48, ,,,,,,,Republican,
1896 - McKinley,Iowa,521550.00,289293.00,55.5,13,223744.00,42.9, ,,,,,,,Republican,
1896 - McKinley,Kansas,336085.00,159484.00,47.5, ,173049.00,51.5,10,,,,,,,Democratic,
1896 - McKinley,Kentucky,445928.00,218171.00,48.9,12,217894.00,48.9,1,,,,,,,Republican,
1896 - McKinley,Louisiana,101046.00,22037.00,21.8, ,77175.00,76.4,8,,,,,,,Democratic,
1896 - McKinley,Maine,118419.00,80403.00,67.9,6,34587.00,29.2, ,,,,,,,Republican,
1896 - McKinley,Maryland,250249.00,136959.00,54.7,8,104150.00,41.6, ,,,,,,,Republican,
1896 - McKinley,Massachusetts,401269.00,278976.00,69.5,15,105414.00,26.3, ,,,,,,,Republican,
1896 - McKinley,Michigan,545583.00,293336.00,53.8,14,237164.00,43.5, ,,,,,,,Republican,
1896 - McKinley,Minnesota,341762.00,193503.00,56.6,9,139735.00,40.9, ,,,,,,,Republican,
1896 - McKinley,Mississippi,69591.00,4819.00,6.9, ,63355.00,91,9,,,,,,,Democratic,
1896 - McKinley,Missouri,674032.00,304940.00,45.2, ,363667.00,54,17,,,,,,,Democratic,
1896 - McKinley,Montana,53330.00,10509.00,19.7, ,42628.00,79.9,3,,,,,,,Democratic,
1896 - McKinley,Nebraska,223181.00,103064.00,46.2, ,115007.00,51.5,8,,,,,,,Democratic,
1896 - McKinley,Nevada,10314.00,1938.00,18.8, ,7802.00,75.6,3,,,,,,,Democratic,
1896 - McKinley,New Hampshire,83670.00,57444.00,68.7,4,21271.00,25.4, ,,,,,,,Republican,
1896 - McKinley,New Jersey,371014.00,221367.00,59.7,10,133675.00,36, ,,,,,,,Republican,
1896 - McKinley,New York,1423876.00,819838.00,57.6,36,551369.00,38.7, ,,,,,,,Republican,
1896 - McKinley,North Carolina,331337.00,155122.00,46.8, ,174408.00,52.6,11,,,,,,,Democratic,
1896 - McKinley,North Dakota,47391.00,26335.00,55.6,3,20686.00,43.6, ,,,,,,,Republican,
1896 - McKinley,Ohio,1014295.00,525991.00,51.9,23,474882.00,46.8, ,,,,,,,Republican,
1896 - McKinley,Oregon,97335.00,48700.00,50,4,46739.00,48, ,,,,,,,Republican,
1896 - McKinley,Pennsylvania,1194355.00,728300.00,61,32,427125.00,35.8, ,,,,,,,Republican,
1896 - McKinley,Rhode Island,54785.00,37437.00,68.3,4,14459.00,26.4, ,,,,,,,Republican,
1896 - McKinley,South Carolina,68938.00,9313.00,13.5, ,58801.00,85.3,9,,,,,,,Democratic,
1896 - McKinley,South Dakota,82937.00,41040.00,49.5, ,41225.00,49.7,4,,,,,,,Democratic,
1896 - McKinley,Tennessee,320903.00,148683.00,46.3, ,167168.00,52.1,12,,,,,,,Democratic,
1896 - McKinley,Texas,515987.00,163413.00,31.7, ,267803.00,51.9,15,,,,,,,Democratic,
1896 - McKinley,Utah,78098.00,13491.00,17.3, ,64607.00,82.7,3,,,,,,,Democratic,
1896 - McKinley,Vermont,63831.00,51127.00,80.1,4,10179.00,15.9, ,,,,,,,Republican,
1896 - McKinley,Virginia,294674.00,135379.00,45.9, ,154708.00,52.5,12,,,,,,,Democratic,
1896 - McKinley,Washington,93583.00,39153.00,41.8, ,51646.00,55.2,4,,,,,,,Democratic,
1896 - McKinley,West Virginia,201757.00,105379.00,52.2,6,94480.00,46.8, ,,,,,,,Republican,
1896 - McKinley,Wisconsin,447409.00,268135.00,59.9,12,165523.00,37, ,,,,,,,Republican,
1896 - McKinley,Wyoming,21093.00,10072.00,47.8, ,10376.00,49.3,3,,,,,,,Democratic,
1900 - McKinley,Alabama,160477.00,55634.00,34.7, ,96368.00,60.1,11,,,,,,,Democratic,
1900 - McKinley,Arkansas,127966.00,44800.00,35, ,81242.00,63.5,8,,,,,,,Democratic,
1900 - McKinley,California,302399.00,164755.00,54.5,9,124985.00,41.3, ,,,,,,,Republican,
1900 - McKinley,Colorado,220895.00,92701.00,42, ,122705.00,55.5,4,,,,,,,Democratic,
1900 - McKinley,Connecticut,180195.00,102572.00,56.9,6,74014.00,41.1, ,,,,,,,Republican,
1900 - McKinley,Delaware,41989.00,22535.00,53.7,3,18852.00,44.9, ,,,,,,,Republican,
1900 - McKinley,Florida,39777.00,7463.00,18.8, ,28273.00,71.1,4,,,,,,,Democratic,
1900 - McKinley,Georgia,121410.00,34260.00,28.2, ,81180.00,66.9,13,,,,,,,Democratic,
1900 - McKinley,Idaho,56760.00,27198.00,47.9, ,28260.00,49.8,3,,,,,,,Democratic,
1900 - McKinley,Illinois,1131898.00,597985.00,52.8,24,503061.00,44.4, ,,,,,,,Republican,
1900 - McKinley,Indiana,664094.00,336063.00,50.6,15,309584.00,46.6, ,,,,,,,Republican,
1900 - McKinley,Iowa,530345.00,307799.00,58,13,209261.00,39.5, ,,,,,,,Republican,
1900 - McKinley,Kansas,353766.00,185955.00,52.6,10,162601.00,46, ,,,,,,,Republican,
1900 - McKinley,Kentucky,467580.00,226801.00,48.5, ,234889.00,50.2,13,,,,,,,Democratic,
1900 - McKinley,Louisiana,67906.00,14234.00,21, ,53668.00,79,8,,,,,,,Democratic,
1900 - McKinley,Maine,107698.00,66413.00,61.7,6,37822.00,35.1, ,,,,,,,Republican,
1900 - McKinley,Maryland,264386.00,136151.00,51.5,8,122237.00,46.2, ,,,,,,,Republican,
1900 - McKinley,Massachusetts,414804.00,238866.00,57.6,15,156997.00,37.8, ,,,,,,,Republican,
1900 - McKinley,Michigan,543789.00,316014.00,58.1,14,211432.00,38.9, ,,,,,,,Republican,
1900 - McKinley,Minnesota,316311.00,190461.00,60.2,9,112901.00,35.7, ,,,,,,,Republican,
1900 - McKinley,Mississippi,59055.00,5707.00,9.7, ,51706.00,87.6,9,,,,,,,Democratic,
1900 - McKinley,Missouri,683658.00,314092.00,45.9, ,351922.00,51.5,17,,,,,,,Democratic,
1900 - McKinley,Montana,63856.00,25409.00,39.8, ,37311.00,58.4,3,,,,,,,Democratic,
1900 - McKinley,Nebraska,241430.00,121835.00,50.5,8,114013.00,47.2, ,,,,,,,Republican,
1900 - McKinley,Nevada,10196.00,3849.00,37.8, ,6347.00,62.2,3,,,,,,,Democratic,
1900 - McKinley,New Hampshire,92364.00,54799.00,59.3,4,35489.00,38.4, ,,,,,,,Republican,
1900 - McKinley,New Jersey,401050.00,221707.00,55.3,10,164808.00,41.1, ,,,,,,,Republican,
1900 - McKinley,New York,1548043.00,822013.00,53.1,36,678462.00,43.8, ,,,,,,,Republican,
1900 - McKinley,North Carolina,292518.00,132997.00,45.5, ,157733.00,53.9,11,,,,,,,Democratic,
